Tool	Use case	Used by	Authentication method	Roles and what they can do	['Create dashboards', 'Export reports', 'View-only']		
Slack	Internal communication	All departments, contractors	Username & Password (SSO via Okta)	Admin – manage workspace, users, channels; Member – messaging, channels, files; Guest – restricted channel access	['Respond to tickets', 'Manage support rules']		
Google Workspace	Email, docs, sheets, storage	All departments	Username & Password (SSO via Okta)	Admin – manage org and users; Editor – create/edit files; Viewer – read-only	['Configure SSO', 'Manage users', 'View logs']		
Zoom	Video meetings	All departments	Username & Password	Admin – manage users & settings; Licensed User – host meetings; Basic User – join only	['Basic access', 'Modify settings', 'View-only']		
Salesforce	CRM (leads, customers, sales data)	Sales, Marketing, Finance, Execs	SCIM + SAML	Admin – manage instance; Sales Manager – assign leads, reports; Sales Rep – update customer records; Viewer – read-only	['Basic access', 'Modify settings', 'View-only']		
Shopify	E-commerce backend (orders, products, payments)	Ops, Sales, Finance	SCIM + SAML	Admin – manage store & users; Ops Editor – manage orders/inventory; Finance Viewer – reports only; Customer – shop online	['View leads', 'Edit contacts', 'Export data']		
Zendesk	Customer service & support	Customer Experience, Sales Support	SCIM + SAML	Admin – configure support rules; Agent – respond to tickets; Viewer – read-only	['Manage payroll', 'View paystubs']		
Looker Studio	Dashboards & reporting	Marketing, Sales, Execs, IT	OAuth	Admin – manage dashboards; Analyst – build dashboards; Viewer – view dashboards	['Create dashboards', 'Export reports', 'View-only']		
My PT Hub	Trainer session scheduling	Trainers, Ops Coordinators, Clients	SCIM + SAML	Admin – manage trainers/clients; Trainer – manage schedules & sessions; Client – book sessions; Viewer – read-only (probation/execs)	['Manage users', 'Edit content', 'Read messages']		
Brivo	Physical access control	Operations, Security	SCIM + SAML	System Admin – configure doors/users; Security Analyst – monitor logs; Viewer – view logs	['Manage users', 'Edit content', 'Read messages']		
Okta	SSO & identity platform	IT, all staff	SCIM + SAML	Super Admin – org-wide config; App Admin – app-specific; Helpdesk Admin – reset MFA/passwords; Read-only – logs; User – log in	['Manage users', 'Edit content', 'Read messages']		
1Password	Password vault	All Departments	SCIM + SAML	Admin – manage vaults/policies; User – store/retrieve credentials; Viewer – read-only vault access	['Create zaps', 'Manage integrations']		
Zapier	Workflow automation	IT, Operations, Marketing	OAuth	Admin – Manage integrations and team-wide automations; User – Create and manage own Zaps	['Build dashboards', 'Share reports', 'Edit views']		
Looker Studio	Reporting and dashboards	Sales, Marketing, Executives, IT	OAuth	Admin – Manage dashboards and sharing; Editor – Build dashboards and reports; Viewer – View dashboards only	['Sales', 'Create  booking', 'Payment']		
Shopify	E-commerce backend for supplements and gym wear	Sales, Operations, Finance	SCIM + SAML	Admin – Manage products, settings, and users; Ops Editor – Manage orders and inventory; Finance Viewer – Access reports only; Customer – Browse products and place orders	[Define and Manage sites, Doors and Devices]		
Brivo	Physical access control	Security, Operations	SCIM + SAML	System Admin – Configure access rules, users, and devices; Security Analyst – Monitor logs, generate reports; Viewer – Read-only access to logs and cameras	['Configure access rules', 'Monitor access logs', 'View-only']		
Workday	HR, payroll, employee onboarding and self-service	HR, Managers, All Employees, Executives	SAML + SCIM	HR Admin → Manage payroll, onboarding, employee records; Manager → Approve leave requests, review performance, edit direct reports; Employee → View personal profile, update personal details, download paystubs; Executive → View org-wide reports and dashboards	['Manage payroll', 'Approve requests', 'View personal profile']		
